Date,High,Low,Close,Volume,Ud,Set
1993-07-30,3044.5,2814.100098,2981.199951,0.0,idx,ibex
1993-08-31,3436.800049,2970.399902,3360.199951,0.0,idx,ibex
1993-09-30,3336.800049,3073.699951,3177.300049,0.0,idx,ibex
1993-10-29,3482.699951,3157.399902,3449.600098,0.0,idx,ibex
1993-11-30,3477.899902,3262.899902,3280.100098,0.0,idx,ibex
1993-12-31,3634.0,3301.899902,3615.199951,0.0,idx,ibex
1994-01-31,3980.5,3581.0,3980.5,0.0,idx,ibex
1994-02-28,3970.0,3671.5,3739.699951,0.0,idx,ibex
1994-03-31,3784.0,3480.800049,3489.100098,0.0,idx,ibex
1994-04-29,3618.699951,3293.800049,3520.699951,0.0,idx,ibex
1994-05-31,3677.300049,3313.199951,3512.600098,0.0,idx,ibex
1994-06-30,3546.399902,3144.399902,3200.699951,0.0,idx,ibex
1994-07-29,3364.399902,3076.100098,3364.199951,0.0,idx,ibex
1994-08-31,3477.399902,3204.800049,3337.0,0.0,idx,ibex
1994-09-30,3326.300049,3119.800049,3176.600098,0.0,idx,ibex
1994-10-31,3294.300049,3056.300049,3194.5,0.0,idx,ibex
1994-11-30,3341.5,3142.300049,3287.100098,0.0,idx,ibex
1994-12-30,3336.800049,3017.699951,3087.699951,0.0,idx,ibex
1995-01-31,3121.300049,2929.699951,3040.100098,0.0,idx,ibex
1995-02-28,3174.100098,3002.199951,3024.5,0.0,idx,ibex
1995-03-31,3092.300049,2833.600098,2931.699951,0.0,idx,ibex
1995-04-28,3107.0,2911.899902,3091.899902,0.0,idx,ibex
1995-05-31,3348.800049,3119.300049,3226.5,0.0,idx,ibex
1995-06-30,3283.800049,3196.0,3219.100098,0.0,idx,ibex
1995-07-31,3395.899902,3201.100098,3373.399902,0.0,idx,ibex
1995-08-31,3542.5,3375.899902,3432.800049,0.0,idx,ibex
1995-09-29,3546.600098,3328.5,3376.800049,0.0,idx,ibex
1995-10-31,3387.899902,3162.199951,3277.300049,0.0,idx,ibex
1995-11-30,3527.899902,3242.899902,3510.100098,0.0,idx,ibex
1995-12-29,3641.5,3509.199951,3630.800049,0.0,idx,ibex
1996-01-31,3768.100098,3629.0,3734.5,0.0,idx,ibex
1996-02-29,3916.300049,3611.800049,3915.5,0.0,idx,ibex
1996-03-29,3939.5,3634.0,3857.100098,0.0,idx,ibex
1996-04-30,4139.799805,3830.199951,4082.899902,0.0,idx,ibex
1996-05-31,4189.799805,3980.600098,4111.700195,0.0,idx,ibex
1996-06-28,4291.5,4064.600098,4264.100098,0.0,idx,ibex
1996-07-31,4306.5,3890.600098,3979.399902,0.0,idx,ibex
1996-08-30,4124.600098,3985.5,4025.5,0.0,idx,ibex
1996-09-30,4240.399902,3898.100098,4215.600098,0.0,idx,ibex
1996-10-31,4413.799805,4208.700195,4306.700195,0.0,idx,ibex
1996-11-29,4667.899902,4290.0,4667.799805,0.0,idx,ibex
1996-12-31,5217.799805,4603.299805,5154.799805,0.0,idx,ibex
1997-01-31,5571.5,5011.399902,5327.399902,0.0,idx,ibex
1997-02-28,5567.5,5263.799805,5305.399902,0.0,idx,ibex
1997-03-31,5702.799805,5249.0,5424.299805,0.0,idx,ibex
1997-04-30,5909.299805,5254.5,5909.299805,0.0,idx,ibex
1997-05-30,6747.700195,5973.700195,6300.799805,0.0,idx,ibex
1997-06-30,6989.799805,6180.0,6884.600098,0.0,idx,ibex
1997-07-31,7222.299805,6640.899902,6810.899902,0.0,idx,ibex
1997-08-29,6932.5,6500.200195,6532.299805,0.0,idx,ibex
1997-09-30,7307.399902,6532.100098,7269.700195,0.0,idx,ibex
1997-10-31,7335.100098,5403.5,6380.399902,0.0,idx,ibex
1997-11-28,6953.5,6083.799805,6932.100098,0.0,idx,ibex
1997-12-31,7374.600098,6967.5,7255.399902,0.0,idx,ibex
1998-01-30,8000.5,7235.200195,7959.0,0.0,idx,ibex
1998-02-27,8903.599609,8003.5,8900.099609,0.0,idx,ibex
1998-03-31,10407.799805,8779.299805,10209.099609,0.0,idx,ibex
1998-04-30,10949.799805,9503.299805,10025.599609,0.0,idx,ibex
1998-05-29,10527.700195,9590.799805,10005.700195,0.0,idx,ibex
1998-06-30,10402.700195,9465.799805,10146.400391,0.0,idx,ibex
1998-07-31,10989.799805,10180.799805,10493.700195,0.0,idx,ibex
1998-08-31,10568.900391,7870.0,8264.700195,0.0,idx,ibex
1998-09-30,8735.299805,7090.799805,7676.5,0.0,idx,ibex
1998-10-30,8814.299805,6869.700195,8800.0,0.0,idx,ibex
1998-11-30,9981.900391,8789.099609,9645.5,0.0,idx,ibex
1998-12-31,10054.900391,9002.799805,9836.599609,0.0,idx,ibex
1999-01-29,10920.099609,8905.599609,9878.799805,0.0,idx,ibex
1999-02-26,10275.299805,9363.700195,9997.299805,0.0,idx,ibex
1999-03-31,10276.200195,9588.799805,9740.700195,0.0,idx,ibex
1999-04-30,10239.099609,9605.299805,9975.400391,0.0,idx,ibex
1999-05-31,10416.299805,9911.299805,10072.299805,0.0,idx,ibex
1999-06-30,10484.400391,9981.400391,10218.599609,0.0,idx,ibex
1999-07-30,10555.599609,9234.200195,9391.900391,0.0,idx,ibex
1999-08-31,10079.799805,9100.400391,9806.099609,0.0,idx,ibex
1999-09-30,10117.0,9420.299805,9525.400391,0.0,idx,ibex
1999-10-29,9835.5,9210.799805,9741.5,0.0,idx,ibex
1999-11-30,11022.799805,9697.700195,10958.099609,0.0,idx,ibex
1999-12-31,11822.5,10901.0,11641.400391,0.0,idx,ibex
2000-01-31,11881.799805,10770.5,10835.099609,0.0,idx,ibex
2000-02-29,12912.299805,10840.0,12585.799805,0.0,idx,ibex
2000-03-31,12968.5,11633.799805,11935.0,0.0,idx,ibex
2000-04-28,11958.599609,10771.599609,11467.900391,0.0,idx,ibex
2000-05-31,11974.400391,10211.299805,10688.5,0.0,idx,ibex
2000-06-30,11220.5,10351.400391,10581.299805,0.0,idx,ibex
