Name,Date,Value,Ud,Set
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-03-01,-0.544,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-04-01,-0.537,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-05-01,-0.546,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-06-01,-0.525,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-07-01,-0.306,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-08-01,0.022,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.,2022-09-01,0.574,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-01-01,-0.547,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-02-01,-0.541,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-03-01,-0.539,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-04-01,-0.538,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-05-01,-0.54,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-06-01,-0.543,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-07-01,-0.545,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-08-01,-0.548,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-09-01,-0.545,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-10-01,-0.55,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-11-01,-0.567,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2021-12-01,-0.582,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-01-01,-0.56,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-02-01,-0.532,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-03-01,-0.495,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-04-01,-0.448,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-05-01,-0.386,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-06-01,-0.239,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-07-01,0.037,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-08-01,0.395,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.,2022-09-01,1.011,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-01-01,-0.529,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-02-01,-0.521,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-03-01,-0.516,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-04-01,-0.516,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-05-01,-0.513,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-06-01,-0.515,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-07-01,-0.516,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-08-01,-0.527,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-09-01,-0.522,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-10-01,-0.527,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-11-01,-0.534,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2021-12-01,-0.545,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-01-01,-0.527,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-02-01,-0.476,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-03-01,-0.418,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-04-01,-0.311,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-05-01,-0.144,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-06-01,0.162,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-07-01,0.466,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-08-01,0.837,%,BCE_TIPOS
MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.,2022-09-01,1.596,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-01-01,3.062,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-02-01,3.03,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-03-01,3.046,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-04-01,2.756,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-05-01,2.683,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-06-01,2.836,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-07-01,3.03,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-08-01,3.237,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-09-01,3.301,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-10-01,3.684,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-11-01,3.689,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,1999-12-01,3.826,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-01-01,3.949,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-02-01,4.111,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-03-01,4.267,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-04-01,4.365,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-05-01,4.849,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-06-01,4.965,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-07-01,5.105,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-08-01,5.248,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-09-01,5.219,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-10-01,5.218,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-11-01,5.193,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2000-12-01,4.881,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-01-01,4.574,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-02-01,4.591,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-03-01,4.471,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-04-01,4.481,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-05-01,4.52,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-06-01,4.312,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-07-01,4.311,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-08-01,4.108,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-09-01,3.77,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-10-01,3.369,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-11-01,3.198,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2001-12-01,3.298,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-01-01,3.483,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-02-01,3.594,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-03-01,3.816,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-04-01,3.86,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-05-01,3.963,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-06-01,3.869,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2002-07-01,3.645,%,BCE_TIPOS
