Value,Date,Name,Set,Ud
18295616.082,2020-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21901323.285,2020-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20688825.079,2020-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19368939.705,2020-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19615897.04,2020-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19647816.491,2020-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21313079.899,2020-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
22763718.626,2021-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19226403.559,2021-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20726678.411,2021-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18866747.195,2021-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19252736.119,2021-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19556420.618,2021-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21548887.062,2021-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20642308.855,2021-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19658166.114,2021-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
18987782.898,2021-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20294631.299,2021-11-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20810633.924,2021-12-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
21451525.494,2022-01-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
19061280.677,2022-02-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
20248393.975,2022-03-01 00:00:00+01:00,Energía de cierre (MWh),ree,eur
18452956.412,2022-04-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19088179.615,2022-05-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
19928661.51,2022-06-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
21999895.768,2022-07-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
20330818.021,2022-08-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
18906700.278,2022-09-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
10685070.08,2022-10-01 00:00:00+02:00,Energía de cierre (MWh),ree,eur
